epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6163,2.0187,3.12808,1.00241,0.88248,0.18227,0.23277,0.19026,1.66611,2.42033,0.84107,0.00331237,0.00331237,0.00331237
2,56.0341,1.87427,1.46962,0.86286,0.83335,0.63049,0.59606,0.43794,1.53253,1.16459,0.81713,0.00662925,0.00662925,0.00662925
3,81.2322,1.90016,1.06035,0.85754,0.79268,0.88353,0.90635,0.60386,1.46337,0.78333,0.7905,0.00992964,0.00992964,0.00992964
4,109.755,1.75235,0.86774,0.8469,0.90892,0.928,0.94902,0.64826,1.50173,0.74748,0.7928,0.00992575,0.00992575,0.00992575
5,136.493,1.54913,0.76083,0.83488,0.91689,0.94288,0.95356,0.63645,1.32746,0.71658,0.79551,0.009901,0.009901,0.009901
6,161.831,1.40483,0.69436,0.8244,0.93768,0.94634,0.96908,0.69233,1.16941,0.62853,0.7813,0.00987625,0.00987625,0.00987625
7,187.174,1.32631,0.65959,0.82046,0.92925,0.94318,0.96985,0.68262,1.14037,0.60021,0.78196,0.0098515,0.0098515,0.0098515
8,212.566,1.27146,0.64251,0.81771,0.9576,0.95864,0.97871,0.74424,0.99901,0.56639,0.77483,0.00982675,0.00982675,0.00982675
9,237.748,1.25224,0.62211,0.81547,0.92256,0.93682,0.97002,0.70581,1.07132,0.62786,0.78062,0.009802,0.009802,0.009802
10,262.957,1.19694,0.60847,0.81185,0.97255,0.97209,0.98082,0.74667,0.9508,0.52956,0.77175,0.00977725,0.00977725,0.00977725
11,288.467,1.18446,0.58985,0.81131,0.95004,0.9644,0.98287,0.74994,0.9469,0.55711,0.77487,0.0097525,0.0097525,0.0097525
12,313.452,1.15581,0.5785,0.80883,0.96827,0.96709,0.98415,0.76954,0.89731,0.51154,0.77507,0.00972775,0.00972775,0.00972775
13,339.415,1.12536,0.57099,0.80777,0.96341,0.97358,0.98434,0.77216,0.90107,0.50871,0.77415,0.009703,0.009703,0.009703
14,365.335,1.09978,0.55015,0.80329,0.97163,0.9749,0.98537,0.77918,0.94083,0.51468,0.77469,0.00967825,0.00967825,0.00967825
15,390.872,1.0842,0.54411,0.80373,0.96638,0.98204,0.98575,0.80364,0.8865,0.53782,0.76745,0.0096535,0.0096535,0.0096535
16,417.108,1.07219,0.53908,0.80304,0.97405,0.97399,0.98589,0.78447,0.89345,0.50956,0.76496,0.00962875,0.00962875,0.00962875
17,441.817,1.0508,0.5362,0.80369,0.96183,0.9755,0.98596,0.79989,0.87229,0.49473,0.76729,0.009604,0.009604,0.009604
18,467.072,1.04309,0.52347,0.80239,0.97308,0.98081,0.98569,0.79161,0.87059,0.4979,0.76998,0.00957925,0.00957925,0.00957925
19,491.983,1.02175,0.51619,0.80117,0.96671,0.98613,0.98649,0.80194,0.85938,0.50333,0.76815,0.0095545,0.0095545,0.0095545
20,517.132,1.0044,0.5158,0.80045,0.97354,0.98058,0.98347,0.79647,0.86301,0.49677,0.76901,0.00952975,0.00952975,0.00952975
21,542.189,0.99779,0.50915,0.79837,0.97474,0.98182,0.98631,0.79809,0.82288,0.45319,0.76677,0.009505,0.009505,0.009505
22,567.282,0.98854,0.50602,0.80003,0.96832,0.98078,0.98625,0.8156,0.79371,0.46928,0.76488,0.00948025,0.00948025,0.00948025
23,592.514,0.96147,0.49227,0.79923,0.98316,0.96556,0.98693,0.82178,0.79119,0.4698,0.7657,0.0094555,0.0094555,0.0094555
24,617.454,0.95128,0.48263,0.79718,0.96648,0.98847,0.98601,0.81718,0.80086,0.46735,0.76548,0.00943075,0.00943075,0.00943075
25,643.02,0.9516,0.4845,0.79955,0.97734,0.98325,0.98695,0.83558,0.75755,0.44097,0.76538,0.009406,0.009406,0.009406
26,668.483,0.92849,0.47605,0.79758,0.97083,0.98057,0.98597,0.83574,0.75399,0.44733,0.76558,0.00938125,0.00938125,0.00938125
27,693.89,0.92402,0.47177,0.79641,0.97975,0.97829,0.9879,0.82879,0.74924,0.43772,0.7633,0.0093565,0.0093565,0.0093565
28,722.109,0.91645,0.46448,0.79389,0.97704,0.97868,0.98738,0.83606,0.72547,0.44047,0.76049,0.00933175,0.00933175,0.00933175
29,749.755,0.88433,0.459,0.79559,0.97301,0.98274,0.9886,0.84135,0.72176,0.43445,0.76376,0.009307,0.009307,0.009307
30,774.06,0.88825,0.45374,0.79421,0.97026,0.98281,0.98756,0.83217,0.73916,0.43354,0.76401,0.00928225,0.00928225,0.00928225
31,799.029,0.87572,0.44995,0.79433,0.97119,0.99314,0.98773,0.83803,0.7321,0.43927,0.76575,0.0092575,0.0092575,0.0092575
32,823.952,0.86874,0.44954,0.79568,0.97944,0.9797,0.98749,0.83639,0.7127,0.41471,0.76468,0.00923275,0.00923275,0.00923275
33,848.978,0.86968,0.45193,0.7955,0.97953,0.97573,0.98767,0.84808,0.69797,0.4197,0.76331,0.009208,0.009208,0.009208
34,874.326,0.84183,0.43774,0.79195,0.97938,0.98061,0.98737,0.84939,0.70437,0.41525,0.76324,0.00918325,0.00918325,0.00918325
35,899.382,0.83714,0.43308,0.79232,0.96944,0.98857,0.98851,0.85415,0.66019,0.41063,0.76194,0.0091585,0.0091585,0.0091585
36,924.36,0.83119,0.43205,0.79268,0.9792,0.98608,0.98851,0.85438,0.68757,0.40111,0.76239,0.00913375,0.00913375,0.00913375
37,949.126,0.8173,0.42474,0.79298,0.98386,0.97734,0.98815,0.85696,0.65837,0.38909,0.76162,0.009109,0.009109,0.009109
38,973.877,0.81618,0.42207,0.79276,0.97524,0.98551,0.98824,0.84428,0.66662,0.39974,0.76397,0.00908425,0.00908425,0.00908425
39,998.777,0.80583,0.42069,0.79243,0.97646,0.98903,0.98884,0.86146,0.62225,0.39251,0.76243,0.0090595,0.0090595,0.0090595
40,1024.05,0.80216,0.41979,0.7911,0.97858,0.98673,0.98905,0.86158,0.64709,0.38455,0.76289,0.00903475,0.00903475,0.00903475
