epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9657,1.81471,2.86976,0.98266,0.74127,0.2384,0.25834,0.21263,1.57518,2.3344,0.86473,0.00331237,0.00331237,0.00331237
2,56.3052,1.64867,1.29966,0.8652,0.86311,0.81802,0.8424,0.56504,1.63174,1.03698,0.8468,0.00662377,0.00662377,0.00662377
3,82.938,1.65771,0.95946,0.86174,0.93189,0.92557,0.96679,0.67677,1.39627,0.74417,0.83509,0.00991317,0.00991317,0.00991317
4,110.644,1.5483,0.82442,0.85493,0.93851,0.96285,0.96678,0.69265,1.30766,0.63836,0.83878,0.009901,0.009901,0.009901
5,139.244,1.363,0.73612,0.84026,0.95317,0.95866,0.97773,0.75343,1.14517,0.61171,0.8162,0.009868,0.009868,0.009868
6,168.312,1.253,0.67286,0.83342,0.95056,0.98185,0.98011,0.7357,1.10682,0.54956,0.81607,0.009835,0.009835,0.009835
7,198.92,1.19617,0.64628,0.8268,0.95787,0.9783,0.98313,0.78912,0.96621,0.536,0.80872,0.009802,0.009802,0.009802
8,227.904,1.14516,0.63044,0.82367,0.96277,0.98366,0.98054,0.7563,1.00451,0.50145,0.80527,0.009769,0.009769,0.009769
9,256.236,1.12317,0.60876,0.82114,0.95558,0.98919,0.98525,0.79052,1.00486,0.50816,0.80666,0.009736,0.009736,0.009736
10,284.149,1.08756,0.58962,0.82103,0.9643,0.98936,0.98626,0.79072,0.94171,0.48679,0.80712,0.009703,0.009703,0.009703
11,311.177,1.06996,0.57457,0.81658,0.96757,0.98998,0.98829,0.80201,0.92494,0.48021,0.80495,0.00967,0.00967,0.00967
12,339.291,1.0359,0.55903,0.81564,0.97712,0.99059,0.98682,0.80439,0.87643,0.46684,0.80294,0.009637,0.009637,0.009637
13,367.103,1.02024,0.55085,0.8151,0.98224,0.98138,0.9871,0.826,0.86484,0.44577,0.80258,0.009604,0.009604,0.009604
14,394.89,0.98271,0.53658,0.81372,0.97621,0.98653,0.98831,0.82397,0.88414,0.45658,0.80005,0.009571,0.009571,0.009571
15,422.959,0.97059,0.52755,0.81299,0.9771,0.97942,0.98662,0.81553,0.83351,0.44416,0.7979,0.009538,0.009538,0.009538
16,451.13,0.94196,0.51322,0.80736,0.98404,0.98371,0.98818,0.81943,0.83364,0.44056,0.7976,0.009505,0.009505,0.009505
17,479.17,0.91999,0.51041,0.80959,0.9746,0.98548,0.98935,0.83705,0.78535,0.41855,0.79777,0.009472,0.009472,0.009472
18,507.322,0.90129,0.49635,0.80944,0.98052,0.98844,0.99013,0.82754,0.76404,0.41147,0.79651,0.009439,0.009439,0.009439
19,535.56,0.87813,0.48918,0.80934,0.98531,0.98326,0.98889,0.83745,0.77268,0.41276,0.79494,0.009406,0.009406,0.009406
20,563.805,0.86661,0.47966,0.80866,0.97564,0.9924,0.99126,0.84722,0.7434,0.39424,0.79693,0.009373,0.009373,0.009373
21,592.02,0.84475,0.47037,0.80624,0.98787,0.98724,0.9894,0.83047,0.72549,0.39357,0.79562,0.00934,0.00934,0.00934
22,620.397,0.83951,0.46825,0.80759,0.97851,0.98965,0.9893,0.85569,0.71028,0.4045,0.793,0.009307,0.009307,0.009307
23,648.449,0.81611,0.45632,0.80453,0.97992,0.98947,0.99073,0.83673,0.72835,0.39436,0.79148,0.009274,0.009274,0.009274
24,676.762,0.80338,0.44794,0.80392,0.98577,0.98873,0.99022,0.85157,0.73292,0.39065,0.79367,0.009241,0.009241,0.009241
25,705.063,0.79756,0.44689,0.80325,0.97936,0.99408,0.99151,0.84413,0.74547,0.39231,0.78959,0.009208,0.009208,0.009208
26,733.466,0.78722,0.44669,0.80499,0.98606,0.98555,0.99049,0.85478,0.66025,0.37176,0.79246,0.009175,0.009175,0.009175
