epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1056.4,0.42729,0.2795,0.77962,0.99233,0.99075,0.99312,0.91817,0.42558,0.26396,0.83319,0.000498156,0.000498156,0.000498156
43,1080.83,0.42643,0.2794,0.77929,0.99082,0.99325,0.99352,0.91569,0.42389,0.269,0.832,0.000495063,0.000495063,0.000495063
44,1105.45,0.41059,0.27225,0.77787,0.99196,0.9879,0.99334,0.9188,0.40688,0.26017,0.83216,0.000491969,0.000491969,0.000491969
45,1129.8,0.42548,0.27754,0.77781,0.99093,0.98874,0.99308,0.92046,0.39545,0.25345,0.83294,0.000488875,0.000488875,0.000488875
46,1154.19,0.42032,0.27714,0.78044,0.98944,0.99212,0.99289,0.91903,0.41456,0.2584,0.83222,0.000485781,0.000485781,0.000485781
47,1178.38,0.41912,0.27601,0.77832,0.99011,0.99153,0.993,0.91675,0.41775,0.25961,0.83169,0.000482687,0.000482687,0.000482687
48,1202.68,0.41725,0.28046,0.7782,0.99265,0.9872,0.99289,0.92422,0.42532,0.26147,0.83194,0.000479594,0.000479594,0.000479594
49,1227.13,0.40739,0.26992,0.77715,0.98742,0.99235,0.99188,0.92057,0.38811,0.24454,0.83255,0.0004765,0.0004765,0.0004765
50,1251.62,0.41094,0.26974,0.77815,0.99087,0.99241,0.99304,0.92283,0.4174,0.26103,0.83123,0.000473406,0.000473406,0.000473406
51,1275.83,0.4119,0.26996,0.77918,0.98712,0.99704,0.99317,0.92228,0.39434,0.25075,0.83239,0.000470312,0.000470312,0.000470312
52,1299.89,0.40507,0.26698,0.77873,0.98916,0.99371,0.99285,0.92576,0.38617,0.2482,0.83104,0.000467219,0.000467219,0.000467219
53,1324.07,0.39947,0.26678,0.77728,0.98986,0.9867,0.99197,0.92309,0.38367,0.24377,0.83166,0.000464125,0.000464125,0.000464125
54,1348.51,0.40567,0.26589,0.77751,0.98847,0.99319,0.99306,0.92293,0.38374,0.24179,0.83122,0.000461031,0.000461031,0.000461031
55,1373,0.39544,0.26131,0.77738,0.99374,0.98519,0.99285,0.92707,0.38115,0.24154,0.83129,0.000457938,0.000457938,0.000457938
56,1397.5,0.40683,0.26328,0.77879,0.99163,0.98826,0.9931,0.92622,0.37913,0.24609,0.83046,0.000454844,0.000454844,0.000454844
57,1422.08,0.39727,0.26106,0.77632,0.98963,0.99151,0.99333,0.92899,0.37881,0.23965,0.83,0.00045175,0.00045175,0.00045175
58,1446.01,0.40663,0.26792,0.77611,0.99306,0.98953,0.99295,0.92813,0.36877,0.23548,0.83061,0.000448656,0.000448656,0.000448656
59,1470.25,0.38456,0.25647,0.77637,0.99155,0.99209,0.99336,0.93004,0.3763,0.23246,0.83096,0.000445562,0.000445562,0.000445562
60,1494.37,0.375,0.24971,0.77638,0.992,0.99114,0.99299,0.93051,0.38242,0.23736,0.83114,0.000442469,0.000442469,0.000442469
61,1518.83,0.3857,0.2547,0.77733,0.99282,0.99126,0.99371,0.92884,0.37121,0.23785,0.82998,0.000439375,0.000439375,0.000439375
62,1543.28,0.38723,0.25324,0.77709,0.99193,0.98955,0.99306,0.93331,0.35333,0.22647,0.82969,0.000436281,0.000436281,0.000436281
63,1567.49,0.38125,0.25137,0.77469,0.98596,0.99382,0.99322,0.9284,0.36847,0.23301,0.83006,0.000433187,0.000433187,0.000433187
64,1591.59,0.38357,0.25348,0.77662,0.99284,0.9912,0.99279,0.9359,0.35614,0.23022,0.82909,0.000430094,0.000430094,0.000430094
65,1615.72,0.38277,0.25183,0.77568,0.9918,0.98892,0.9932,0.93226,0.3677,0.22947,0.82971,0.000427,0.000427,0.000427
66,1640.13,0.37711,0.24999,0.77636,0.99241,0.99153,0.99358,0.93626,0.35491,0.22611,0.82976,0.000423906,0.000423906,0.000423906
67,1664.69,0.37589,0.25008,0.77439,0.99073,0.99405,0.99264,0.93475,0.35587,0.22727,0.83009,0.000420812,0.000420812,0.000420812
68,1688.84,0.37062,0.24913,0.77562,0.99238,0.99076,0.99359,0.93537,0.35421,0.22413,0.82962,0.000417719,0.000417719,0.000417719
69,1712.95,0.3622,0.24187,0.775,0.99293,0.99122,0.99321,0.93856,0.34129,0.22021,0.82941,0.000414625,0.000414625,0.000414625
70,1736.92,0.368,0.24392,0.77583,0.99127,0.99259,0.99349,0.93779,0.35049,0.22203,0.82964,0.000411531,0.000411531,0.000411531
71,1761.24,0.36011,0.24209,0.77466,0.99161,0.99083,0.99312,0.93599,0.35166,0.21942,0.82956,0.000408438,0.000408438,0.000408438
72,1785.31,0.37146,0.24514,0.77522,0.99087,0.99047,0.99361,0.93236,0.37353,0.22865,0.82965,0.000405344,0.000405344,0.000405344
73,1809.35,0.37899,0.2558,0.77701,0.9883,0.9899,0.9936,0.93876,0.35139,0.2297,0.82959,0.00040225,0.00040225,0.00040225
74,1833.54,0.35911,0.23986,0.77581,0.99076,0.99315,0.99359,0.94101,0.34618,0.2163,0.82887,0.000399156,0.000399156,0.000399156
75,1857.56,0.36616,0.24261,0.77569,0.9924,0.99019,0.99327,0.93762,0.34865,0.2221,0.82904,0.000396063,0.000396063,0.000396063
76,1881.57,0.37014,0.24899,0.7754,0.9912,0.99094,0.99345,0.93446,0.35535,0.21912,0.82934,0.000392969,0.000392969,0.000392969
77,1905.62,0.36297,0.24441,0.77654,0.99055,0.98973,0.99367,0.93886,0.35004,0.21771,0.82925,0.000389875,0.000389875,0.000389875
78,1929.45,0.36238,0.23996,0.77631,0.99177,0.98859,0.99339,0.94242,0.34404,0.22024,0.82904,0.000386781,0.000386781,0.000386781
79,1953.51,0.34214,0.23149,0.77421,0.99151,0.98929,0.99306,0.94079,0.34502,0.21995,0.82955,0.000383688,0.000383688,0.000383688
80,1977.55,0.35742,0.23689,0.77598,0.9928,0.99129,0.99349,0.93746,0.34329,0.21702,0.82935,0.000380594,0.000380594,0.000380594
81,2001.67,0.36852,0.23871,0.77681,0.99272,0.98993,0.99344,0.94122,0.33947,0.21482,0.82878,0.0003775,0.0003775,0.0003775
82,2026.17,0.34086,0.23162,0.77446,0.98596,0.99344,0.99312,0.93759,0.33858,0.21498,0.8292,0.000374406,0.000374406,0.000374406
83,2049.96,0.35484,0.23644,0.77323,0.99348,0.99016,0.99338,0.94006,0.33946,0.21623,0.82891,0.000371313,0.000371313,0.000371313
84,2073.85,0.34883,0.23891,0.77509,0.99195,0.99241,0.9931,0.94181,0.33615,0.21168,0.82857,0.000368219,0.000368219,0.000368219
